Layer,Modulus prior range lower [MPa],Modulus prior range upper [MPa],Thickness noise level [mm],Evaluation point,r noise level [mm],Deflection noise level [μm]
Layered System,Layered System,Layered System,Layered System,Evaluation point #,noise [mm],noise [μm]
layer #,Modulus [MPa],Modulus [MPa],Thickness [mm],1,0,1
1,1000,25000,10,2,2,1
2,100,8000,10,3,2,1
3,80,600,10,4,2,1
4,20,500,10,5,2,1
5,15,150,-,6,2,1
,,,,7,2,1
,,,,8,2,1
,,,,9,2,1
Stress noise level [%],0.025 ,,,10,2,1
